"","TPR","FPR","thd","totP","totF","dist_ax","d_ax","alg","algprop","delta","col","dif"
"1",0.602272727272727,0.193564605329311,1.33052405563712,3432,1989,0.289000284552208,0.397918666301019,"Z2","2000_0.02",0.102031014672204,1,0.408708121943416
"2",0.715909090909091,0.367521367521368,0.338511229193978,3432,1989,0.246347321689602,0.541715229215229,"Z2","3000_0.02",0.0842187550887977,2,0.348387723387723
"3",0.412296037296037,0.0462543991955757,1.19224524523626,3432,1989,0.258830524497469,0.229275218245806,"Z2","3500_0.02",0.0744317180965417,3,0.366041638100462
"4",0.796037296037296,0.400703871292107,0.144744550773138,3432,1989,0.279542945467025,0.598370583664701,"Z2","4000_0.02",0.0717935301475055,4,0.395333424745189
"5",0.747086247086247,0.323278029160382,0.139517625743097,3432,1989,0.299677664817965,0.535182138123315,"Z2","4500_0.02",0.0692693592103775,5,0.423808217925865
"6",0.487947406866326,0.105131414267835,2.11956268595817,1369,799,0.270691784313052,0.29653941056708,"Z2","2000_0.05",0.0952277212050648,6,0.382815992598491
"7",0.653031409788167,0.275344180225282,0.544625103539704,1369,799,0.267065201191476,0.464187795006724,"Z2","3000_0.05",0.0765518428918663,7,0.377687229562885
"8",0.738495252008766,0.342928660826033,0.336926395405874,1369,799,0.279707819036157,0.540711956417399,"Z2","3500_0.05",0.0660060317543515,8,0.395566591182733
"9",0.726077428780131,0.299123904881101,0.259997451891734,1369,799,0.301901732000497,0.512600666830616,"Z2","4000_0.05",0.0635799783809286,9,0.42695352389903
"10",0.756026296566837,0.315394242803504,0.186195832122366,1369,799,0.311573913224208,0.535710269685171,"Z2","4500_0.05",0.0604345354223982,10,0.440632053763333
"11",0.51970802919708,0.115,2.08521940658802,685,400,0.286171791845899,0.31735401459854,"Z2","2000_0.1",0.0852396344908612,11,0.40470802919708
"12",0.724087591240876,0.345,0.500460582890396,685,400,0.268055406430097,0.534543795620438,"Z2","3000_0.1",0.069480394855985,12,0.379087591240876
"13",0.756204379562044,0.3425,0.375252861348665,685,400,0.292533172194894,0.549352189781022,"Z2","3500_0.1",0.0606769895338569,13,0.413704379562044
"14",0.813138686131387,0.365,0.24173134030328,685,400,0.316881903875533,0.589069343065693,"Z2","4000_0.1",0.0581450240623025,14,0.448138686131387
"15",0.754744525547445,0.2975,0.227360847767493,685,400,0.323320704675024,0.526122262773723,"Z2","4500_0.1",0.0548566928289813,15,0.457244525547445
