"","TPR","FPR","thd","totP","totF","dist_ax","d_ax","alg","algprop","delta","col","dif","author"
"1",0.665273311897106,0.137290576908498,2.65692724637577,15550,26382,0.373340172259864,0.401281944402802,"Z2","2000_0.02",0.102031014672204,1,0.527982734988608,"all"
"2",0.709646302250804,0.176635584868471,1.2904814679819,15550,26382,0.376895492706154,0.443140943559637,"Z2","3000_0.02",0.0920603756530797,2,0.533010717382333,"all"
"3",0.70475884244373,0.168107042680616,1.0866690014748,15550,26382,0.379470126748463,0.436432942562173,"Z2","3500_0.02",0.0904442704819339,3,0.536651799763114,"all"
"4",0.698070739549839,0.164089151694337,0.974673433483744,15550,26382,0.377582001801386,0.431079945622088,"Z2","4000_0.02",0.088501449364147,4,0.533981587855502,"all"
"5",0.729453376205788,0.198809794556895,0.61487708190788,15550,26382,0.37522167497705,0.464131585381341,"Z2","4500_0.02",0.0876997392265054,5,0.530643581648893,"all"
"6",0.679054054054054,0.139391642187056,3.07820731382599,6216,10553,0.381598950982642,0.409222848120555,"Z2","2000_0.05",0.105298430840664,6,0.539662411866998,"all"
"7",0.680984555984556,0.14128683786601,1.95471483154477,6216,10553,0.38162391627253,0.411135696925283,"Z2","3000_0.05",0.0972976314124064,7,0.539697718118546,"all"
"8",0.703024453024453,0.162986828390031,1.39575073137984,6216,10553,0.381864266474875,0.433005640707242,"Z2","3500_0.05",0.0925902996497146,8,0.540037624634422,"all"
"9",0.753378378378378,0.217947503079693,0.813744991679092,6216,10553,0.378606802780349,0.485662940729036,"Z2","4000_0.05",0.0897852725901191,9,0.535430875298685,"all"
"10",0.731499356499356,0.196152752771724,0.778494931170949,6216,10553,0.378547213780997,0.46382605463554,"Z2","4500_0.05",0.0859558561461976,10,0.535346603727633,"all"
"11",0.682023195876289,0.14337053149234,3.19724550652835,3104,5287,0.380884951690092,0.412696863684314,"Z2","2000_0.1",0.105259244257367,11,0.538652664383949,"all"
"12",0.730670103092783,0.188575751844146,1.63938410747683,3104,5287,0.383318591810834,0.459622927468465,"Z2","3000_0.1",0.0956050757987251,12,0.542094351248637,"all"
"13",0.726481958762887,0.188954038206923,1.37018485927739,3104,5287,0.380089637702226,0.457717998484905,"Z2","3500_0.1",0.0905995956754579,13,0.537527920555964,"all"
"14",0.734536082474227,0.204085492717988,1.0545591822663,3104,5287,0.37508520910104,0.469310787596107,"Z2","4000_0.1",0.0871173281843522,14,0.530450589756239,"all"
"15",0.741301546391753,0.211840363154908,0.842129734482402,3104,5287,0.374385593041826,0.47657095477333,"Z2","4500_0.1",0.0834195658030835,15,0.529461183236844,"all"
"16",0.782890473104342,0.132275132275132,2.65692724637577,6172,11718,0.460054519444331,0.457582802689737,"Z2","2000_0.02",0.102031014672204,1,0.65061534082921,"esr"
"17",0.794069993519119,0.143881208397337,1.56666259494114,6172,11718,0.459752899011054,0.468975600958228,"Z2","3000_0.02",0.0920603756530797,2,0.650188785121781,"esr"
"18",0.826150356448477,0.167861409796894,1.0866690014748,6172,11718,0.465480578157484,0.497005883122685,"Z2","3500_0.02",0.0904442704819339,3,0.658288946651583,"esr"
"19",0.818211276733636,0.161802355350742,0.974673433483744,6172,11718,0.464151199541191,0.490006816042189,"Z2","4000_0.02",0.088501449364147,4,0.656408921382893,"esr"
"20",0.818535320803629,0.16410650281618,0.79027656036089,6172,11718,0.462751055002822,0.491320911809905,"Z2","4500_0.02",0.0876997392265054,5,0.654428817987449,"esr"
"21",0.796678817334953,0.134286934244236,3.07820731382599,2469,4684,0.468381792336373,0.465482875789595,"Z2","2000_0.05",0.105298430840664,6,0.662391883090718,"esr"
"22",0.791818550020251,0.134500426985483,1.95471483154477,2469,4684,0.464794102194698,0.463159488502867,"Z2","3000_0.05",0.0972976314124064,7,0.657318123034769,"esr"
"23",0.820980153908465,0.161827497865073,1.39575073137984,2469,4684,0.466091312925407,0.491403825886769,"Z2","3500_0.05",0.0925902996497146,8,0.659152656043392,"esr"
"24",0.845281490481977,0.193424423569599,0.99331553685933,2469,4684,0.460932552378115,0.519352957025788,"Z2","4000_0.05",0.0897852725901191,9,0.651857066912378,"esr"
"25",0.836776022681248,0.182536293766012,0.864450787317147,2469,4684,0.462617348837612,0.50965615822363,"Z2","4500_0.05",0.0859558561461976,10,0.654239728915236,"esr"
"26",0.778681855166802,0.119523606975755,3.51302323930045,1229,2351,0.466095267170935,0.449102731071279,"Z2","2000_0.1",0.105259244257367,11,0.659158248191047,"esr"
"27",0.732302685109845,0.08762228838792,2.88225009286025,1229,2351,0.455857880220107,0.409962486748883,"Z2","3000_0.1",0.0956050757987251,12,0.644680396721925,"esr"
"28",0.770545158665582,0.125478519778818,2.0043820290056,1229,2351,0.456130994674045,0.4480118392222,"Z2","3500_0.1",0.0905995956754579,13,0.645066638886764,"esr"
"29",0.763222131814483,0.128030625265844,1.75149780774111,1229,2351,0.449148221632642,0.445626378540164,"Z2","4000_0.1",0.0871173281843522,14,0.635191506548639,"esr"
"30",0.851912123677787,0.218205019140791,0.842129734482402,1229,2351,0.448098590904202,0.535058571409289,"Z2","4500_0.1",0.0834195658030835,15,0.633707104536996,"esr"
"31",0.704119850187266,0.207903593529476,2.35083420235916,4539,9211,0.350877880017728,0.456011721858371,"Z2","2000_0.02",0.102031014672204,1,0.49621625665779,"luc"
"32",0.801277814496585,0.270980349582021,0.922239965369584,4539,9211,0.374976933487123,0.536129082039303,"Z2","3000_0.02",0.0920603756530797,2,0.530297464914564,"luc"
"33",0.797752808988764,0.277819997828683,0.724891919547068,4539,9211,0.367648016532678,0.537786403408724,"Z2","3500_0.02",0.0904442704819339,3,0.519932811160081,"luc"
"34",0.811412205331571,0.298121810878298,0.532166186663009,4539,9211,0.362951118635827,0.554767008104934,"Z2","4000_0.02",0.088501449364147,4,0.513290394453273,"luc"
"35",0.811191892487332,0.297687547497557,0.439477603454869,4539,9211,0.363102404511026,0.554439719992445,"Z2","4500_0.02",0.0876997392265054,5,0.513504344989775,"luc"
"36",0.738436123348018,0.222373065435786,2.55171515962267,1816,3683,0.364911687769605,0.480404594391902,"Z2","2000_0.05",0.105298430840664,6,0.516063057912232,"luc"
"37",0.827092511013216,0.277219657887592,1.07903614883311,1816,3683,0.388818823235523,0.552156084450404,"Z2","3000_0.05",0.0972976314124064,7,0.549872853125624,"luc"
"38",0.828193832599119,0.287808851479772,0.840208933481548,1816,3683,0.382109884600855,0.558001342039445,"Z2","3500_0.05",0.0925902996497146,8,0.540384981119347,"luc"
"39",0.793502202643172,0.262286179744773,0.813744991679092,1816,3683,0.375626452066406,0.527894191193973,"Z2","4000_0.05",0.0897852725901191,9,0.531216022898399,"luc"
"40",0.784691629955947,0.259027966331795,0.692539075024752,1816,3683,0.371700341172002,0.521859798143871,"Z2","4500_0.05",0.0859558561461976,10,0.525663663624152,"luc"
"41",0.783039647577093,0.256646771568096,2.35517155246942,908,1843,0.372215972194251,0.519843209572594,"Z2","2000_0.1",0.105259244257367,11,0.526392876008997,"luc"
"42",0.852422907488987,0.296256104177971,1.06575365268448,908,1843,0.393269318092064,0.574339505833479,"Z2","3000_0.1",0.0956050757987251,12,0.556166803311016,"luc"
"43",0.832599118942731,0.291372761801411,0.917186880900103,908,1843,0.38270482729152,0.561985940372071,"Z2","3500_0.1",0.0905995956754579,13,0.541226357141321,"luc"
"44",0.82488986784141,0.285946825827455,0.79320719771324,908,1843,0.381090279681374,0.555418346834432,"Z2","4000_0.1",0.0871173281843522,14,0.538943042013954,"luc"
"45",0.818281938325991,0.28540423223006,0.675290602876235,908,1843,0.376801439523565,0.551843085278025,"Z2","4500_0.1",0.0834195658030835,15,0.532877706095932,"luc"
"46",0.602272727272727,0.193564605329311,1.33052405563712,3432,1989,0.289000284552208,0.397918666301019,"Z2","2000_0.02",0.102031014672204,1,0.408708121943416,"PhC"
"47",0.715909090909091,0.367521367521368,0.338511229193978,3432,1989,0.246347321689602,0.541715229215229,"Z2","3000_0.02",0.0842187550887977,2,0.348387723387723,"PhC"
"48",0.412296037296037,0.0462543991955757,1.19224524523626,3432,1989,0.258830524497469,0.229275218245806,"Z2","3500_0.02",0.0744317180965417,3,0.366041638100462,"PhC"
"49",0.796037296037296,0.400703871292107,0.144744550773138,3432,1989,0.279542945467025,0.598370583664701,"Z2","4000_0.02",0.0717935301475055,4,0.395333424745189,"PhC"
"50",0.747086247086247,0.323278029160382,0.139517625743097,3432,1989,0.299677664817965,0.535182138123315,"Z2","4500_0.02",0.0692693592103775,5,0.423808217925865,"PhC"
"51",0.487947406866326,0.105131414267835,2.11956268595817,1369,799,0.270691784313052,0.29653941056708,"Z2","2000_0.05",0.0952277212050648,6,0.382815992598491,"PhC"
"52",0.653031409788167,0.275344180225282,0.544625103539704,1369,799,0.267065201191476,0.464187795006724,"Z2","3000_0.05",0.0765518428918663,7,0.377687229562885,"PhC"
"53",0.738495252008766,0.342928660826033,0.336926395405874,1369,799,0.279707819036157,0.540711956417399,"Z2","3500_0.05",0.0660060317543515,8,0.395566591182733,"PhC"
"54",0.726077428780131,0.299123904881101,0.259997451891734,1369,799,0.301901732000497,0.512600666830616,"Z2","4000_0.05",0.0635799783809286,9,0.42695352389903,"PhC"
"55",0.756026296566837,0.315394242803504,0.186195832122366,1369,799,0.311573913224208,0.535710269685171,"Z2","4500_0.05",0.0604345354223982,10,0.440632053763333,"PhC"
"56",0.51970802919708,0.115,2.08521940658802,685,400,0.286171791845899,0.31735401459854,"Z2","2000_0.1",0.0852396344908612,11,0.40470802919708,"PhC"
"57",0.724087591240876,0.345,0.500460582890396,685,400,0.268055406430097,0.534543795620438,"Z2","3000_0.1",0.069480394855985,12,0.379087591240876,"PhC"
"58",0.756204379562044,0.3425,0.375252861348665,685,400,0.292533172194894,0.549352189781022,"Z2","3500_0.1",0.0606769895338569,13,0.413704379562044,"PhC"
"59",0.813138686131387,0.365,0.24173134030328,685,400,0.316881903875533,0.589069343065693,"Z2","4000_0.1",0.0581450240623025,14,0.448138686131387,"PhC"
"60",0.754744525547445,0.2975,0.227360847767493,685,400,0.323320704675024,0.526122262773723,"Z2","4500_0.1",0.0548566928289813,15,0.457244525547445,"PhC"
"61",0.744847192608387,0.0594688221709007,3.37114434908119,1407,3464,0.484635693414932,0.402158007389644,"Z2","2000_0.02",0.102031014672204,1,0.685378370437486,"PHF"
"62",0.750533049040512,0.0516743648960739,2.44398010641392,1407,3464,0.49416771464964,0.401103706968293,"Z2","3000_0.02",0.0842187550887977,2,0.698858684144438,"PHF"
"63",0.816631130063966,0.114896073903002,0.968950090946639,1407,3464,0.49620161680774,0.465763601983484,"Z2","3500_0.02",0.0744317180965417,3,0.701735056160964,"PHF"
"64",0.823027718550107,0.115762124711316,0.790886322100687,1407,3464,0.500112297503339,0.469394921630712,"Z2","4000_0.02",0.0717935301475055,4,0.70726559383879,"PHF"
"65",0.817341862117982,0.129618937644342,0.62440314021574,1407,3464,0.486293543472755,0.473480399881162,"Z2","4500_0.02",0.0692693592103775,5,0.68772292447364,"PHF"
"66",0.766903914590747,0.0807498197548666,3.54797850403414,562,1387,0.485184213397369,0.423826867172807,"Z2","2000_0.05",0.0952277212050648,6,0.686154094835881,"PHF"
"67",0.765124555160142,0.06056236481615,2.76462854740383,562,1387,0.498200702559884,0.412843459988146,"Z2","3000_0.05",0.0765518428918663,7,0.704562190343992,"PHF"
"68",0.761565836298932,0.056957462148522,2.58113147505383,562,1387,0.498233359442583,0.409261649223727,"Z2","3500_0.05",0.0660060317543515,8,0.70460837415041,"PHF"
"69",0.750889679715303,0.0526315789473684,2.35813673846238,562,1387,0.493743038071446,0.401760629331335,"Z2","4000_0.05",0.0635799783809286,9,0.698258100767934,"PHF"
"70",0.866548042704626,0.184571016582552,0.548803044656755,562,1387,0.482230579784354,0.525559529643589,"Z2","4500_0.05",0.0604345354223982,10,0.681977026122074,"PHF"
"71",0.762411347517731,0.0937950937950938,3.87525173089611,282,693,0.472783087018822,0.428103220656412,"Z2","2000_0.1",0.0852396344908612,11,0.668616253722637,"PHF"
"72",0.75886524822695,0.062049062049062,3.21019598227381,282,693,0.492723450486933,0.410457155138006,"Z2","3000_0.1",0.069480394855985,12,0.696816186177888,"PHF"
"73",0.762411347517731,0.0692640692640693,2.62030147410137,282,693,0.490129140814163,0.4158377083909,"Z2","3500_0.1",0.0606769895338569,13,0.693147278253661,"PHF"
"74",0.74113475177305,0.0461760461760462,2.56753230279538,282,693,0.491410013372267,0.393655398974548,"Z2","4000_0.1",0.0581450240623025,14,0.694958705597003,"PHF"
"75",0.875886524822695,0.212121212121212,0.611357697570362,282,693,0.469352953727628,0.544003868471954,"Z2","4500_0.1",0.0548566928289813,15,0.663765312701483,"PHF"
